bfs_number,german,french,italian,english,coat_of_arms
4461,Amriswil,Amriswil,Amriswil,Amriswil,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Amriswil.jpg/120px-Amriswil.jpg
0921,Amsoldingen,Amsoldingen,Amsoldingen,Amsoldingen,http://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Amsoldingen-coat_of_arms.svg/120px-Amsoldingen-coat_of_arms.svg.png
3701,Andeer,Andeer,Andeer,Andeer,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Andeer_wappen.svg/120px-Andeer_wappen.svg.png
0030,Andelfingen ZH,Andelfingen,Andelfingen,"Andelfingen, Switzerland",http://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Andelfingen-blazon.svg/120px-Andelfingen-blazon.svg.png
1202,Andermatt,Andermatt,Andermatt,Andermatt,http://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Andermatt-coat_of_arms.svg/120px-Andermatt-coat_of_arms.svg.png
3611,Andiast,Andiast,Andiast,Andiast,http://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Andiast_wappen.svg/120px-Andiast_wappen.svg.png
3441,Andwil SG,Andwil (Saint-Gall),Andwil,Andwil,http://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Andwil-SG-flago.png/120px-Andwil-SG-flago.png
6602,Anières,Anières,Anières,Anières,http://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Anieres-coat_of_arms.svg/120px-Anieres-coat_of_arms.svg.png
6252,Anniviers,Anniviers,Anniviers,Anniviers,http://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Anniviers.png/120px-Anniviers.png
2841,Anwil,Anwil,Anwil,Anwil,http://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Coat_of_arms_of_Anwil.svg/120px-Coat_of_arms_of_Anwil.svg.png
,Anzonico,Anzonico,Anzonico,Anzonico,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Anzonico-coat_of_arms.svg/120px-Anzonico-coat_of_arms.svg.png
3101,Appenzell (Bezirk),Appenzell (district),Appenzello,Appenzell District,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Appenzell-Wappen.png/120px-Appenzell-Wappen.png
5421,Apples,Apples,Apples,"Apples, Vaud",http://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Wappen_Apples.svg/120px-Wappen_Apples.svg.png
5143,Aranno,Aranno,Aranno,Aranno,http://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Aranno-coat_of_arms.svg/120px-Aranno-coat_of_arms.svg.png
6261,Arbaz,Arbaz,Arbaz,Arbaz,http://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Thumb_uc_19885_w250_Wappen_Arbaz_VS_Blason_Arbaz_VS.jpg/120px-Thumb_uc_19885_w250_Wappen_Arbaz_VS_Blason_Arbaz_VS.jpg
5001,Arbedo-Castione,Arbedo-Castione,Arbedo-Castione,Arbedo-Castione,http://upload.wikimedia.org/wikipedia/commons/thumb/7/77/ArbedoCastione-coat_of_arms.svg/120px-ArbedoCastione-coat_of_arms.svg.png
2881,Arboldswil,Arboldswil,Arboldswil,Arboldswil,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Coat_of_arms_of_Arboldswil.svg/120px-Coat_of_arms_of_Arboldswil.svg.png
4401,Arbon,Arbon (Thurgovie),Arbon (Svizzera),Arbon,http://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/WappenArbon.jpg/120px-WappenArbon.jpg
0381,Arch,Arch (Berne),Arch (Svizzera),"Arch, Switzerland",http://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Arch-coat_of_arms.svg/120px-Arch-coat_of_arms.svg.png
2171,Arconciel,Arconciel,Arconciel,Arconciel,http://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Arconciel-coat_of_arms.svg/120px-Arconciel-coat_of_arms.svg.png
3741,Ardez,Ardez,Ardez,Ardez,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Ardez_wappen.svg/120px-Ardez_wappen.svg.png
6021,Ardon VS,Ardon (Valais),Ardon (Svizzera),"Ardon, Switzerland",http://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Ardon-drapeau.png/120px-Ardon-drapeau.png
2821,Arisdorf,Arisdorf,Arisdorf,Arisdorf,http://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Wappen_Arisdorf.png/120px-Wappen_Arisdorf.png
4222,Aristau,Aristau,Aristau,Aristau,http://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Wappen_Aristau.svg/120px-Wappen_Aristau.svg.png
2763,Arlesheim,Arlesheim,Arlesheim,Arlesheim,http://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Coat_of_arms_of_Arlesheim.svg/120px-Coat_of_arms_of_Arlesheim.svg.png
5701,Arnex-sur-Nyon,Arnex-sur-Nyon,Arnex-sur-Nyon,Arnex-sur-Nyon,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Arnex-sur-Nyon-coat_of_arms.svg/120px-Arnex-sur-Nyon-coat_of_arms.svg.png
5743,Arnex-sur-Orbe,Arnex-sur-Orbe,Arnex-sur-Orbe,Arnex-sur-Orbe,http://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Arnex-sur-Orbe-coat_of_arms.svg/120px-Arnex-sur-Orbe-coat_of_arms.svg.png
4061,Arni AG,Arni (Argovie),Arni (Argovia),"Arni, Aargau",http://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Wappen_Arni_AG.svg/120px-Wappen_Arni_AG.svg.png
0602,Arni BE,Arni (Berne),Arni (Berna),"Arni, Bern",http://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Arni_bei_Biglen-coat_of_arms.svg/120px-Arni_bei_Biglen-coat_of_arms.svg.png
5144,Arogno,Arogno,Arogno,Arogno,http://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Arogno-coat_of_arms.svg/120px-Arogno-coat_of_arms.svg.png
3921,Arosa,Arosa,Arosa,Arosa,http://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Original_Wappen_Arosa.gif/120px-Original_Wappen_Arosa.gif
1362,Arth SZ,Arth,Arth,Arth,http://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Wappen_arth.png/120px-Wappen_arth.png
3801,Arvigo,Arvigo,Arvigo,Arvigo,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Arvigo_wappen.svg/120px-Arvigo_wappen.svg.png
5702,Arzier,Arzier,Arzier,Arzier,http://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Arzier-coat_of_arms.svg/120px-Arzier-coat_of_arms.svg.png
5091,Ascona,Ascona,Ascona,Ascona,http://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Ascona-coat_of_arms.svg/120px-Ascona-coat_of_arms.svg.png
5511,Assens VD,Assens (Vaud),Assens (Svizzera),"Assens, Switzerland",http://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Blason_commune_CH_Assens_%28Vaud%29.svg/120px-Blason_commune_CH_Assens_%28Vaud%29.svg.png
5146,Astano,Astano,Astano,Astano,http://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Astano-coat_of_arms.svg/120px-Astano-coat_of_arms.svg.png
2321,Attalens,Attalens,Attalens,Attalens,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Attalens-coat_of_arms.svg/120px-Attalens-coat_of_arms.svg.png
4272,Attelwil,Attelwil,Attelwil,Attelwil,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Wappen_Attelwil.svg/120px-Wappen_Attelwil.svg.png
1203,Attinghausen,Attinghausen,Attinghausen,Attinghausen,http://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Attinghausen-coat_of_arms.svg/120px-Attinghausen-coat_of_arms.svg.png
0971,Attiswil,Attiswil,Attiswil,Attiswil,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Attiswil-coat_of_arms.svg/120px-Attiswil-coat_of_arms.svg.png
3231,Au SG,Au (Saint-Gall),Au (San Gallo),"Au, St. Gallen",http://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Wappen_Au_Kanton_St._Gallen.svg/120px-Wappen_Au_Kanton_St._Gallen.svg.png
5422,Aubonne VD,Aubonne (Vaud),Aubonne (Svizzera),Aubonne,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Aubonne-coat_of_arms.svg/120px-Aubonne-coat_of_arms.svg.png
2061,Auboranges,Auboranges,Auboranges,Auboranges,http://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Auboranges-coat_of_arms.svg/120px-Auboranges-coat_of_arms.svg.png
4091,Auenstein AG,Auenstein,Auenstein,"Auenstein, Switzerland",http://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Coat_of_arms_of_Auenstein_AG.svg/120px-Coat_of_arms_of_Auenstein_AG.svg.png
2822,Augst,Augst,Augst,Augst,http://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Wappen_Augst.png/120px-Wappen_Augst.png
6191,Ausserberg,Ausserberg,Ausserberg,Ausserberg,http://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Ausserberg.jpg/120px-Ausserberg.jpg
0322,Auswil,Auswil,Auswil,Auswil,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Auswil-coat_of_arms.svg/120px-Auswil-coat_of_arms.svg.png
2172,Autafond,Autafond,Autafond,Autafond,http://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Autafond-coat_of_arms.svg/120px-Autafond-coat_of_arms.svg.png
2173,Autigny FR,Autigny (Fribourg),Autigny (Svizzera),"Autigny, Switzerland",http://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Autigny-coat_of_arms.svg/120px-Autigny-coat_of_arms.svg.png
,Auvernier,Auvernier,Auvernier,Auvernier,http://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Auvernier-coat_of_arms.svg/120px-Auvernier-coat_of_arms.svg.png
4223,Auw AG,Auw (Argovie),Auw,"Auw, Switzerland",http://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Wappen_Auw_AG.svg/120px-Wappen_Auw_AG.svg.png
5324,Avegno-Gordevio,Avegno Gordevio,Avegno Gordevio,Avegno Gordevio,http://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Wappen_Avegno-Gordevio_2010.svg/120px-Wappen_Avegno-Gordevio_2010.svg.png
5451,Avenches,Avenches,Avenches,Avenches,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Avenches-coat_of_arms.png/120px-Avenches-coat_of_arms.png
3681,Avers GR,Avers,Avers,Avers,http://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Avers_wappen.svg/120px-Avers_wappen.svg.png
2174,Avry FR,Avry,Avry,Avry,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Avry-coat_of_arms.svg/120px-Avry-coat_of_arms.svg.png
6603,Avully,Avully,Avully,Avully,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Avully-coat_of_arms.svg/120px-Avully-coat_of_arms.svg.png
6604,Avusy,Avusy,Avusy,Avusy,http://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Avusy-coat_of_arms.svg/120px-Avusy-coat_of_arms.svg.png
6082,Ayent,Ayent,Ayent,Ayent,http://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Ayent.jpg/120px-Ayent.jpg
